Date,Open,High,Low,Close,Adj Close,Volume
2007-03-01,null,null,null,null,null,null
2007-04-01,5.860000,6.240000,5.860000,6.080000,2.193992,0
2007-05-01,6.070000,6.400000,6.070000,6.400000,2.309465,0
2007-06-01,6.430000,6.430000,6.220000,6.420000,2.316682,0
2007-07-01,6.500000,6.660000,6.310000,6.360000,2.295031,0
2007-08-01,6.320000,6.450000,6.030000,6.320000,2.280597,0
2007-09-01,6.390000,6.630000,6.280000,6.610000,2.385244,0
2007-10-01,6.700000,7.030000,6.670000,7.030000,2.536803,0
2007-11-01,6.880000,6.920000,5.870000,6.170000,2.226469,0
2007-12-01,6.150000,6.320000,6.030000,6.230000,2.479490,0
2008-01-01,6.190000,6.190000,5.560000,5.700000,2.268554,0
2008-02-01,5.810000,5.810000,5.610000,5.610000,2.232735,0
2008-03-01,5.570000,5.570000,5.190000,5.400000,2.149157,0
2008-04-01,5.510000,5.650000,5.470000,5.650000,2.248654,0
2008-05-01,5.700000,5.760000,5.630000,5.750000,2.288454,0
2008-06-01,5.690000,5.740000,5.390000,5.390000,2.145176,0
2008-07-01,5.360000,5.420000,5.190000,5.380000,2.141196,0
2008-08-01,5.370000,5.380000,5.280000,5.340000,2.125277,0
2008-09-01,5.280000,5.280000,4.500000,4.650000,1.850662,0
2008-10-01,4.630000,4.630000,3.280000,3.810000,1.516349,0
2008-11-01,3.840000,3.980000,2.890000,3.430000,1.365112,0
2008-12-01,3.120000,3.600000,3.120000,3.600000,1.432771,0
2009-01-01,3.690000,3.730000,3.250000,3.360000,1.337253,0
2009-02-01,3.360000,3.550000,3.120000,3.120000,1.241735,0
2009-03-01,2.990000,3.470000,2.910000,3.340000,1.329293,0
2009-04-01,3.360000,3.540000,3.320000,3.540000,1.408891,0
2009-05-01,3.520000,3.790000,3.520000,3.790000,1.508389,0
2009-06-01,3.840000,3.900000,3.700000,3.900000,1.552168,0
2009-07-01,3.900000,4.210000,3.700000,4.210000,1.675546,0
2009-08-01,4.290000,4.340000,4.120000,4.280000,1.703406,0
2009-09-01,4.210000,4.570000,4.210000,4.500000,1.790964,0
2009-10-01,4.370000,4.600000,4.220000,4.220000,1.679526,0
2009-11-01,4.260000,4.550000,4.260000,4.450000,1.771064,0
2009-12-01,4.520000,4.690000,4.490000,4.660000,1.854642,0
2010-01-01,4.740000,4.860000,4.470000,4.470000,1.782444,0
2010-02-01,4.540000,4.610000,4.400000,4.580000,1.826308,0
2010-03-01,4.660000,4.950000,4.660000,4.880000,1.945935,0
2010-04-01,4.940000,5.090000,4.940000,4.970000,1.981823,0
2010-05-01,5.030000,5.030000,4.400000,4.580000,1.826308,0
2010-06-01,4.490000,4.720000,4.400000,4.420000,1.762507,0
2010-07-01,4.400000,4.780000,4.370000,4.720000,1.882133,0
2010-08-01,4.800000,4.840000,4.560000,4.580000,1.826308,0
2010-09-01,4.710000,5.070000,4.710000,5.070000,2.021699,0
2010-10-01,5.110000,5.320000,5.080000,5.270000,2.101450,0
2010-11-01,5.270000,5.440000,5.130000,5.200000,2.073537,0
2010-12-01,5.320000,5.490000,5.320000,5.490000,2.189177,0
2011-01-01,5.570000,5.630000,5.400000,5.430000,2.178819,0
