Date,Open,High,Low,Close,Adj Close,Volume
2007-03-01,null,null,null,null,null,null
2007-04-01,11.210000,12.380000,11.210000,12.260000,3.680296,0
2007-05-01,12.310000,12.440000,12.080000,12.250000,3.677294,0
2007-06-01,12.270000,12.300000,11.760000,11.980000,3.596242,0
2007-07-01,12.100000,12.120000,11.570000,11.570000,3.473166,0
2007-08-01,11.550000,11.960000,11.510000,11.950000,3.587237,0
2007-09-01,12.070000,12.340000,11.950000,12.280000,3.686299,0
2007-10-01,12.440000,12.620000,12.280000,12.620000,3.788363,0
2007-11-01,12.420000,12.680000,11.980000,12.680000,3.806375,0
2007-12-01,12.520000,12.640000,10.280000,10.280000,3.085925,0
2008-01-01,10.280000,10.660000,9.850000,9.960000,3.503881,0
2008-02-01,10.060000,10.060000,9.380000,9.410000,3.310394,0
2008-03-01,9.440000,9.440000,8.900000,9.280000,3.264661,0
2008-04-01,9.540000,9.840000,9.500000,9.790000,3.444076,0
2008-05-01,9.960000,9.960000,9.690000,9.940000,3.496845,0
2008-06-01,9.880000,9.970000,9.470000,9.680000,3.405379,0
2008-07-01,9.800000,10.930000,9.710000,10.930000,3.845123,0
2008-08-01,10.860000,11.140000,10.800000,10.900000,3.834569,0
2008-09-01,10.880000,10.880000,10.190000,10.400000,3.658671,0
2008-10-01,10.430000,10.430000,8.280000,9.260000,3.257625,0
2008-11-01,9.370000,9.510000,8.070000,8.760000,3.081727,0
2008-12-01,8.280000,9.380000,7.910000,8.160000,2.870650,0
2009-01-01,8.280000,8.280000,7.820000,8.120000,3.336358,0
2009-02-01,8.180000,8.460000,7.340000,7.340000,3.015870,0
2009-03-01,7.040000,7.940000,6.960000,7.820000,3.213094,0
2009-04-01,7.770000,7.790000,7.420000,7.580000,3.114481,0
2009-05-01,7.510000,7.920000,7.510000,7.920000,3.254181,0
2009-06-01,7.940000,8.220000,7.850000,8.130000,3.340467,0
2009-07-01,8.140000,8.570000,7.920000,8.550000,3.513037,0
2009-08-01,8.610000,8.790000,8.450000,8.730000,3.586996,0
2009-09-01,8.630000,9.020000,8.590000,8.920000,3.665063,0
2009-10-01,8.720000,8.910000,8.340000,8.360000,3.434969,0
2009-11-01,8.390000,8.790000,8.390000,8.730000,3.586996,0
2009-12-01,8.850000,9.060000,8.760000,8.960000,3.681498,0
2010-01-01,9.070000,9.410000,9.010000,9.120000,3.750140,0
2010-02-01,9.200000,9.320000,8.950000,9.300000,3.824156,0
2010-03-01,9.500000,10.020000,9.500000,9.850000,4.050316,0
2010-04-01,9.930000,9.980000,9.560000,9.720000,3.996860,0
2010-05-01,9.780000,9.780000,8.680000,8.900000,3.670504,0
2010-06-01,8.790000,9.220000,8.720000,8.830000,3.641635,0
2010-07-01,8.770000,9.220000,8.750000,9.110000,3.757112,0
2010-08-01,9.260000,9.490000,9.070000,9.110000,3.757112,0
2010-09-01,9.300000,9.840000,9.300000,9.800000,4.041679,0
2010-10-01,9.810000,10.120000,9.730000,9.970000,4.111790,0
2010-11-01,9.920000,10.010000,9.560000,9.560000,3.942699,0
2010-12-01,9.660000,10.020000,9.350000,9.350000,3.856092,0
2011-01-01,9.400000,9.640000,9.400000,9.440000,4.146934,0
2011-02-01,9.570000,9.700000,9.470000,9.660000,4.243579,0
2011-03-01,9.600000,9.780000,9.210000,9.740000,4.278722,0
2011-04-01,9.790000,10.340000,9.790000,10.340000,4.542298,0
2011-05-01,10.400000,10.680000,10.280000,10.680000,4.691658,0
2011-06-01,10.550000,10.580000,10.270000,10.580000,4.647729,0
2011-07-01,10.650000,10.740000,10.330000,10.330000,4.537905,0
2011-08-01,10.180000,10.180000,8.920000,9.680000,4.252364,0
2011-09-01,9.610000,9.610000,9.140000,9.340000,4.103005,0
2011-10-01,9.060000,9.790000,9.060000,9.520000,4.182077,0
2011-11-01,9.330000,9.620000,8.990000,9.620000,4.226007,0
2011-12-01,9.630000,9.810000,8.780000,8.880000,3.900929,0
2012-01-01,9.010000,9.320000,8.960000,9.200000,4.452195,0
2012-02-01,9.300000,9.390000,9.160000,9.320000,4.510267,0
2012-03-01,9.400000,9.770000,9.180000,9.770000,4.728038,0
2012-04-01,9.820000,9.950000,9.430000,9.950000,4.815146,0
2012-05-01,9.950000,9.970000,9.360000,9.390000,4.544143,0
2012-06-01,9.230000,10.120000,9.230000,10.120000,4.897415,0
2012-07-01,10.180000,10.310000,9.950000,10.100000,4.887736,0
2012-08-01,10.060000,10.230000,9.930000,10.200000,4.936129,0
2012-09-01,10.250000,10.710000,10.250000,10.600000,5.129704,0
2012-10-01,10.660000,10.800000,10.350000,10.350000,5.008720,0
2012-11-01,10.470000,10.470000,9.900000,10.310000,4.989362,0
2012-12-01,10.280000,10.510000,8.710000,8.810000,4.263461,0
2013-01-01,8.960000,9.410000,8.960000,9.390000,5.292518,0
2013-02-01,9.460000,9.580000,9.340000,9.530000,5.371427,0
2013-03-01,9.600000,10.120000,9.600000,10.120000,5.703970,0
2013-04-01,10.060000,10.470000,10.060000,10.440000,5.884333,0
2013-05-01,10.300000,10.720000,10.300000,10.480000,5.906878,0
2013-06-01,10.400000,10.470000,10.000000,10.240000,5.771606,0
2013-07-01,10.470000,11.070000,10.440000,10.970000,6.183059,0
2013-08-01,11.080000,11.180000,10.820000,10.890000,6.137968,0
2013-09-01,11.030000,11.710000,11.030000,11.690000,6.588874,0
2013-10-01,11.860000,12.140000,11.290000,12.000000,6.763601,0
2013-11-01,12.080000,12.600000,11.740000,12.580000,7.090508,0
2013-12-01,12.590000,12.590000,10.780000,11.240000,6.335239,0
2014-01-01,11.170000,12.000000,11.170000,11.690000,7.456023,0
2014-02-01,11.420000,12.780000,11.420000,12.660000,8.074701,0
2014-03-01,12.530000,12.780000,11.810000,12.020000,7.666502,0
2014-04-01,12.130000,12.160000,11.150000,11.680000,7.449645,0
2014-05-01,11.740000,12.080000,11.570000,12.070000,7.698391,0
2014-06-01,12.070000,12.670000,12.070000,12.670000,8.081079,0
2014-07-01,12.810000,12.920000,12.290000,12.550000,8.004541,0
2014-08-01,12.500000,13.390000,12.320000,13.390000,8.540304,0
2014-09-01,13.420000,13.590000,13.240000,13.350000,8.514791,0
2014-10-01,13.230000,14.210000,12.680000,14.210000,9.063309,0
2014-11-01,14.150000,14.480000,14.010000,14.480000,9.235518,0
2014-12-01,14.360000,14.680000,11.950000,12.250000,7.813198,0
2015-01-01,12.270000,12.790000,12.090000,12.510000,9.311728,0
2015-02-01,12.530000,13.090000,12.340000,13.010000,9.683900,0
2015-03-01,13.110000,13.840000,12.990000,13.350000,9.936976,0
2015-04-01,13.210000,13.770000,13.070000,13.070000,9.728559,0
2015-05-01,13.240000,13.840000,13.100000,13.760000,10.242158,0
2015-06-01,13.780000,14.050000,13.470000,13.720000,10.212383,0
2015-07-01,13.800000,14.430000,13.630000,14.210000,10.577110,0
2015-08-01,14.250000,14.390000,12.720000,13.210000,9.832768,0
2015-09-01,12.870000,13.430000,11.690000,12.060000,8.976775,0
2015-10-01,12.150000,12.750000,12.050000,12.720000,9.468041,0
2015-11-01,13.040000,13.160000,12.520000,13.000000,9.676457,0
2015-12-01,13.190000,13.190000,11.800000,12.080000,8.991661,0
2016-01-01,11.790000,11.850000,10.570000,10.740000,8.800685,0
2016-02-01,10.810000,10.810000,10.000000,10.460000,8.571243,0
2016-03-01,10.760000,10.870000,10.450000,10.720000,8.784296,0
2016-04-01,10.880000,11.340000,10.840000,11.090000,9.087484,0
2016-05-01,11.180000,11.390000,10.920000,11.390000,9.333314,0
2016-06-01,11.430000,11.600000,10.590000,11.120000,9.112068,0
2016-07-01,11.200000,11.670000,11.160000,11.660000,9.554561,0
2016-08-01,11.790000,11.800000,11.140000,11.140000,9.128457,0
2016-09-01,11.140000,11.410000,10.970000,11.140000,9.128457,0
2016-10-01,11.120000,11.150000,10.140000,10.140000,8.309027,0
2016-11-01,10.130000,10.670000,9.940000,10.120000,8.292638,0
2016-12-01,10.000000,10.130000,8.990000,9.110000,7.465012,0
2017-01-01,9.230000,9.540000,9.140000,9.350000,8.656777,0
2017-02-01,9.460000,9.900000,9.390000,9.890000,9.156740,0
2017-03-01,9.970000,10.090000,9.860000,9.950000,9.212291,0
2017-04-01,9.950000,10.190000,9.840000,10.190000,9.434498,0
2017-05-01,10.230000,10.280000,10.080000,10.130000,9.378946,0
2017-06-01,10.260000,10.710000,10.190000,10.490000,9.712255,0
2017-07-01,10.480000,10.720000,10.410000,10.560000,9.777065,0
2017-08-01,10.530000,10.710000,10.240000,10.710000,9.915944,0
2017-09-01,10.700000,10.910000,10.670000,10.760000,9.962237,0
2017-10-01,10.870000,10.890000,10.400000,10.400000,9.628927,0
2017-11-01,10.420000,10.660000,10.310000,10.660000,9.869651,0
2017-12-01,10.640000,10.710000,10.300000,10.300000,9.536343,0
2018-01-01,10.430000,11.240000,10.430000,10.860000,10.337551,0
2018-02-01,10.840000,10.840000,9.970000,10.340000,9.842567,0
2018-03-01,10.210000,10.660000,9.960000,10.180000,9.690265,0
2018-04-01,10.010000,10.500000,10.010000,10.310000,9.814011,0
2018-05-01,10.330000,10.590000,10.200000,10.470000,9.966313,0
2018-06-01,10.580000,10.860000,10.530000,10.670000,10.156692,0
2018-07-01,10.690000,11.370000,10.690000,11.350000,10.803979,0
2018-08-01,11.380000,11.740000,11.330000,11.700000,11.137140,0
2018-09-01,11.620000,11.920000,11.530000,11.920000,11.346558,0
2018-10-01,11.970000,11.970000,10.950000,11.170000,10.632638,0
2018-11-01,11.320000,11.840000,11.220000,11.840000,11.270406,0
2018-12-01,11.890000,11.890000,9.770000,10.380000,9.880643,0
2019-01-01,10.260000,11.070000,10.130000,11.070000,11.070000,0
2019-02-01,11.100000,11.390000,10.980000,11.320000,11.320000,0
2019-03-01,11.470000,11.520000,11.130000,11.520000,11.520000,0
