Date,Open,High,Low,Close,Adj Close,Volume
2007-03-01,null,null,null,null,null,null
2007-04-01,6.680000,6.976000,6.680000,6.909000,3.575067,0
2007-05-01,6.919000,7.112000,6.885000,7.112000,3.680109,0
2007-06-01,7.121000,7.152000,6.952000,7.059000,3.652683,0
2007-07-01,7.128000,7.517000,7.122000,7.122000,3.685283,0
2007-08-01,7.113000,7.310000,6.724000,6.980000,3.611805,0
2007-09-01,7.050000,7.420000,6.843000,7.416000,3.837415,0
2007-10-01,7.550000,8.484000,7.550000,8.484000,4.390051,0
2007-11-01,8.366000,8.429000,7.418000,7.814000,4.043359,0
2007-12-01,7.790000,8.289000,7.740000,8.123000,4.203251,0
2008-01-01,7.983000,8.001000,6.887000,7.018000,3.631469,0
2008-02-01,7.050000,7.089000,6.677000,6.677000,3.455017,0
2008-03-01,6.597000,6.867000,6.326000,6.657000,3.444669,0
2008-04-01,6.922000,7.424000,6.687000,7.422000,3.840518,0
2008-05-01,7.595000,7.781000,7.333000,7.781000,4.026283,0
2008-06-01,7.654000,7.807000,7.067000,7.067000,3.656823,0
2008-07-01,7.061000,7.061000,6.601000,6.716000,3.475198,0
2008-08-01,6.733000,7.078000,6.669000,6.844000,3.541432,0
2008-09-01,6.809000,6.809000,5.572000,5.932000,3.069518,0
2008-10-01,5.855000,5.855000,4.458000,5.034000,2.604846,0
2008-11-01,5.020000,5.271000,4.036000,4.628000,2.394761,0
2008-12-01,4.298000,4.735000,4.298000,4.700000,2.432018,0
2009-01-01,4.855000,4.931000,4.408000,4.564000,2.361645,0
2009-02-01,4.607000,4.898000,4.438000,4.438000,2.296445,0
2009-03-01,4.318000,4.982000,4.092000,4.840000,2.504461,0
2009-04-01,4.941000,5.361000,4.941000,5.325000,2.755424,0
2009-05-01,5.317000,5.512000,5.161000,5.512000,2.852188,0
2009-06-01,5.633000,5.812000,5.571000,5.779000,2.990347,0
2009-07-01,5.810000,6.232000,5.489000,6.094000,3.153343,0
2009-08-01,6.189000,6.361000,6.079000,6.284000,3.251660,0
2009-09-01,6.186000,6.694000,6.167000,6.670000,3.451396,0
2009-10-01,6.482000,7.029000,6.478000,6.767000,3.501588,0
2009-11-01,6.789000,7.308000,6.789000,7.179000,3.714778,0
2009-12-01,7.307000,7.696000,7.188000,7.591000,3.927968,0
2010-01-01,7.712000,7.725000,7.048000,7.048000,3.646992,0
2010-02-01,7.121000,7.280000,6.942000,7.229000,3.740650,0
2010-03-01,7.347000,7.751000,7.340000,7.674000,3.970916,0
2010-04-01,7.664000,8.073000,7.664000,7.790000,4.030940,0
2010-05-01,7.878000,7.878000,6.966000,7.151000,3.700289,0
2010-06-01,7.065000,7.432000,6.777000,6.777000,3.506763,0
2010-07-01,6.781000,7.443000,6.752000,7.277000,3.765488,0
2010-08-01,7.401000,7.463000,7.065000,7.080000,3.663550,0
2010-09-01,7.284000,8.044000,7.284000,7.975000,4.126669,0
2010-10-01,8.019000,8.657000,7.938000,8.657000,4.479570,0
2010-11-01,8.629000,8.863000,8.473000,8.486000,4.391085,0
2010-12-01,8.690000,9.056000,8.690000,8.746000,4.525623,0
2011-01-01,8.857000,9.139000,8.819000,8.954000,4.783828,0
2011-02-01,9.154000,9.425000,9.025000,9.163000,4.895490,0
2011-03-01,8.981000,9.243000,8.609000,9.243000,4.938232,0
2011-04-01,9.317000,9.317000,8.539000,8.973000,4.793979,0
2011-05-01,8.933000,8.956000,8.539000,8.832000,5.040312,0
2011-06-01,8.626000,8.713000,8.154000,8.713000,4.972401,0
2011-07-01,8.818000,9.051000,8.575000,8.575000,4.893645,0
2011-08-01,8.533000,8.533000,7.149000,8.020000,4.576914,0
2011-09-01,7.901000,8.142000,7.580000,7.589000,4.330947,0
2011-10-01,7.357000,8.844000,7.357000,8.642000,4.931881,0
2011-11-01,8.360000,8.812000,7.904000,8.464000,4.830298,0
2011-12-01,8.488000,8.702000,7.642000,7.759000,4.427964,0
2012-01-01,7.869000,8.385000,7.816000,8.372000,5.153715,0
2012-02-01,8.501000,9.050000,8.501000,8.996000,5.537843,0
2012-03-01,9.089000,9.448000,8.841000,9.345000,5.752684,0
2012-04-01,9.421000,9.421000,8.494000,8.732000,5.375328,0
2012-05-01,8.754000,8.779000,7.925000,7.964000,5.164032,0
2012-06-01,7.755000,8.321000,7.755000,8.321000,5.395518,0
2012-07-01,8.362000,8.437000,7.942000,8.202000,5.318356,0
2012-08-01,8.110000,8.693000,8.080000,8.663000,5.617278,0
2012-09-01,8.678000,9.146000,8.674000,8.963000,5.811805,0
2012-10-01,8.949000,9.016000,8.444000,8.464000,5.488242,0
2012-11-01,8.607000,8.607000,8.040000,8.542000,5.538819,0
2012-12-01,8.492000,8.784000,8.113000,8.229000,5.335864,0
2013-01-01,8.466000,8.783000,8.386000,8.728000,5.975550,0
2013-02-01,8.874000,8.918000,8.689000,8.797000,6.022790,0
2013-03-01,8.880000,9.135000,8.880000,9.064000,6.205590,0
2013-04-01,9.013000,9.088000,8.692000,9.088000,6.222021,0
2013-05-01,9.028000,9.752000,9.028000,9.594000,6.568450,0
2013-06-01,9.641000,9.828000,9.407000,9.670000,6.620483,0
2013-07-01,9.691000,10.225000,9.654000,10.153000,6.951164,0
2013-08-01,10.292000,10.437000,10.111000,10.199000,6.982659,0
2013-09-01,10.239000,10.918000,10.239000,10.904000,7.465331,0
2013-10-01,11.018000,11.286000,10.570000,11.174000,7.650183,0
2013-11-01,11.188000,11.673000,11.166000,11.673000,7.991820,0
2013-12-01,11.666000,12.047000,11.624000,11.866000,8.123955,0
2014-01-01,11.750000,12.072000,11.490000,11.853000,8.510965,0
2014-02-01,11.498000,12.482000,11.498000,12.438000,8.931021,0
2014-03-01,12.292000,12.561000,11.803000,11.993000,8.611493,0
2014-04-01,12.202000,12.202000,10.891000,11.069000,7.948021,0
2014-05-01,11.147000,11.469000,10.780000,11.421000,8.447811,0
2014-06-01,11.343000,11.755000,11.238000,11.755000,8.694861,0
2014-07-01,11.886000,11.917000,11.582000,11.608000,8.586129,0
2014-08-01,11.439000,11.835000,11.375000,11.800000,8.728147,0
2014-09-01,11.876000,12.029000,11.621000,11.728000,8.674889,0
2014-10-01,11.556000,12.060000,11.004000,12.060000,8.920464,0
2014-11-01,12.107000,12.360000,12.081000,12.360000,9.142364,0
2014-12-01,12.227000,12.452000,11.591000,11.591000,8.573555,0
2015-01-01,11.568000,11.568000,10.981000,10.981000,8.779762,0
2015-02-01,11.034000,11.977000,11.034000,11.938000,9.544925,0
2015-03-01,12.057000,12.057000,11.579000,11.715000,9.366626,0
2015-04-01,11.672000,11.842000,11.332000,11.556000,9.239501,0
2015-05-01,11.630000,11.813000,11.458000,11.599000,9.499290,0
2015-06-01,11.643000,11.783000,11.347000,11.375000,9.315841,0
2015-07-01,11.412000,12.176000,11.241000,11.997000,9.825243,0
2015-08-01,11.977000,12.126000,10.762000,11.357000,9.301100,0
2015-09-01,11.011000,11.541000,10.891000,11.098000,9.088985,0
2015-10-01,11.134000,12.510000,11.134000,12.458000,10.202790,0
2015-11-01,12.574000,12.748000,12.278000,12.647000,10.357577,0
2015-12-01,12.830000,12.830000,11.937000,12.141000,9.943175,0
2016-01-01,11.890000,11.890000,10.835000,11.418000,9.623204,0
2016-02-01,11.507000,11.507000,10.212000,11.111000,9.364461,0
2016-03-01,11.460000,11.988000,11.260000,11.988000,10.103606,0
2016-04-01,12.080000,12.240000,11.814000,11.822000,9.963700,0
2016-05-01,11.936000,12.427000,11.760000,12.427000,10.538892,0
2016-06-01,12.493000,12.545000,11.587000,12.091000,10.253942,0
2016-07-01,12.134000,13.088000,12.060000,13.088000,11.099463,0
2016-08-01,13.127000,13.364000,13.024000,13.323000,11.298757,0
2016-09-01,13.364000,13.600000,13.222000,13.518000,11.464129,0
2016-10-01,13.527000,13.783000,13.334000,13.638000,11.565896,0
2016-11-01,13.555000,13.586000,12.996000,13.329000,11.303847,0
2016-12-01,13.033000,13.666000,12.880000,12.880000,10.923066,0
2017-01-01,13.059000,13.880000,13.059000,13.665000,11.973202,0
2017-02-01,13.645000,14.211000,13.639000,14.090000,12.345586,0
2017-03-01,14.278000,14.374000,14.108000,14.328000,12.554119,0
2017-04-01,14.308000,14.608000,13.788000,14.608000,12.799455,0
2017-05-01,14.729000,15.186000,14.574000,15.129000,13.606665,0
2017-06-01,15.220000,15.405000,14.888000,14.888000,13.389915,0
2017-07-01,14.767000,15.748000,14.767000,15.486000,13.927743,0
2017-08-01,15.537000,15.815000,15.153000,15.815000,14.223638,0
2017-09-01,15.778000,15.917000,15.524000,15.913000,14.311776,0
2017-10-01,15.924000,17.031000,15.924000,17.031000,15.317280,0
2017-11-01,17.080999,17.513000,17.025000,17.219999,15.487259,0
2017-12-01,17.103001,17.323999,16.570000,16.570000,14.902666,0
2018-01-01,16.777000,18.156000,16.777000,18.068001,17.056221,0
2018-02-01,18.049000,18.256001,16.433001,17.891001,16.889133,0
2018-03-01,17.669001,18.677999,16.902000,17.261999,16.295353,0
2018-04-01,16.891001,17.676001,16.891001,17.240000,16.274588,0
2018-05-01,17.440001,18.290001,17.346001,18.290001,17.603998,0
2018-06-01,18.600000,19.129999,18.240000,18.459999,17.767622,0
2018-07-01,18.680000,20.200001,18.469999,19.040001,18.325869,0
2018-08-01,19.070000,20.000000,19.070000,19.809999,19.066988,0
2018-09-01,19.700001,19.900000,19.240000,19.850000,19.105488,0
2018-10-01,19.860001,19.860001,17.450001,18.170000,17.488499,0
2018-11-01,18.230000,18.709999,17.080000,18.379999,17.690622,0
2018-12-01,18.590000,18.590000,15.130000,16.280001,15.669388,0
2019-01-01,16.270000,17.540001,15.740000,17.540001,17.540001,0
2019-02-01,17.610001,18.750000,17.610001,18.709999,18.709999,0
2019-03-01,18.820000,19.049999,18.410000,19.049999,19.049999,0
