Date,Open,High,Low,Close,Adj Close,Volume
2007-03-01,null,null,null,null,null,null
2007-04-01,46.130001,48.090000,45.160000,47.279999,19.773117,0
2007-05-01,47.419998,49.799999,47.419998,49.189999,21.136335,0
2007-06-01,49.470001,49.529999,46.490002,46.490002,19.976183,0
2007-07-01,47.090000,47.299999,40.790001,40.790001,17.526958,0
2007-08-01,40.080002,42.389999,37.980000,40.230000,17.286337,0
2007-09-01,40.580002,42.080002,38.840000,40.169998,17.260553,0
2007-10-01,41.040001,42.119999,35.500000,36.630001,15.739459,0
2007-11-01,34.720001,34.889999,27.520000,31.270000,13.436333,0
2007-12-01,30.799999,32.310001,27.469999,28.580000,12.280472,0
2008-01-01,28.049999,29.000000,24.570000,29.000000,13.087274,0
2008-02-01,30.010000,30.010000,25.830000,25.830000,11.656697,0
2008-03-01,25.080000,27.820000,21.700001,25.030001,11.295671,0
2008-04-01,27.059999,27.059999,23.590000,25.260000,11.399467,0
2008-05-01,26.350000,26.350000,24.230000,24.480000,11.119086,0
2008-06-01,24.270000,24.270000,19.100000,19.100000,8.675432,0
2008-07-01,19.299999,19.910000,14.410000,18.600000,8.448326,0
2008-08-01,18.790001,19.250000,16.370001,18.270000,8.298434,0
2008-09-01,18.799999,19.129999,13.080000,14.390000,6.536098,0
2008-10-01,14.790000,14.790000,10.910000,12.650000,5.745769,0
2008-11-01,12.510000,12.930000,9.600000,11.670000,5.300642,0
2008-12-01,10.080000,11.760000,10.080000,11.290000,5.128042,0
2009-01-01,11.290000,11.350000,9.020000,9.230000,4.376422,0
2009-02-01,9.260000,9.640000,7.980000,8.380000,3.973393,0
2009-03-01,8.130000,9.360000,7.320000,8.960000,4.248402,0
2009-04-01,9.070000,10.070000,8.640000,9.050000,4.291075,0
2009-05-01,8.890000,9.800000,8.830000,9.260000,4.526537,0
2009-06-01,9.350000,9.520000,8.850000,9.140000,4.467878,0
2009-07-01,9.230000,10.280000,8.830000,10.260000,5.015364,0
2009-08-01,10.460000,11.030000,10.460000,10.770000,5.264666,0
2009-09-01,10.420000,11.450000,10.270000,10.930000,5.342878,0
2009-10-01,10.630000,11.100000,10.300000,10.300000,5.034918,0
2009-11-01,10.200000,10.800000,10.130000,10.510000,5.137570,0
2009-12-01,10.560000,11.130000,10.500000,10.980000,5.367320,0
2010-01-01,11.150000,11.420000,11.010000,11.040000,5.484273,0
2010-02-01,11.090000,11.630000,10.750000,11.580000,5.752527,0
2010-03-01,11.590000,12.510000,11.590000,12.510000,6.214517,0
2010-04-01,12.600000,13.330000,12.600000,12.700000,6.308902,0
2010-05-01,12.870000,12.870000,11.400000,11.780000,5.869941,0
2010-06-01,11.440000,11.720000,10.740000,10.740000,5.351712,0
2010-07-01,10.760000,11.620000,10.630000,11.480000,5.720451,0
2010-08-01,11.650000,11.650000,10.080000,10.160000,5.062699,0
2010-09-01,10.420000,10.910000,10.420000,10.860000,5.411507,0
2010-10-01,10.890000,11.080000,10.750000,10.750000,5.356694,0
2010-11-01,10.700000,11.450000,10.660000,10.710000,5.336763,0
2010-12-01,10.860000,11.480000,10.860000,11.360000,5.660655,0
2011-01-01,11.530000,12.010000,11.500000,11.690000,5.946827,0
2011-02-01,11.950000,12.340000,11.840000,11.970000,6.089267,0
2011-03-01,11.760000,12.110000,11.510000,12.020000,6.114702,0
2011-04-01,12.080000,12.340000,11.790000,12.340000,6.277490,0
2011-05-01,12.330000,12.370000,11.830000,12.220000,6.219003,0
2011-06-01,11.870000,12.190000,11.390000,12.170000,6.193557,0
2011-07-01,12.410000,12.570000,11.720000,11.720000,5.964544,0
2011-08-01,11.740000,11.740000,9.950000,11.230000,5.715172,0
